# number_of_header_lines: 71
# comment:  
# comment:  ************ USE OF GML DATA ****************
# comment:  
# comment: These data are made freely available to the public and the
# comment: scientific community in the belief that their wide dissemination
# comment: will lead to greater understanding and new scientific insights.
# comment: The availability of these data does not constitute publication
# comment: of the data.  NOAA relies on the ethics and integrity of the user to
# comment: ensure that GML receives fair credit for their work.  If the data 
# comment: are obtained for potential use in a publication or presentation, 
# comment: GML should be informed at the outset of the nature of this work.  
# comment: If the GML data are essential to the work, or if an important 
# comment: result or conclusion depends on the GML data, co-authorship
# comment: may be appropriate.  This should be discussed at an early stage in
# comment: the work.  Manuscripts using the GML data should be sent to GML
# comment: for review before they are submitted for publication so we can
# comment: ensure that the quality and limitations of the data are accurately
# comment: represented.
# comment: Please see accompanying README file, if available, for citation text.
# comment:  
# comment: Every effort is made to produce the most accurate and precise
# comment: measurements possible.  However, we reserve the right to make
# comment: corrections to the data based on recalibration of standard gases
# comment: or for other reasons deemed scientifically justified.
# comment: 
# comment: We are not responsible for results and conclusions based on use
# comment: of these data without regard to this warning.
# comment: 
# contact_parameter: CO2 CCGG (Individual Flasks)
# contact_name: Xin Lan
# contact_telephone: (999) 999-9999
# contact_email: xin.lan@noaa.gov
# comment: 
# comment:  ************ COLLABORATORS ***************
# comment: 
# comment: NOAA thanks the following collaborators without
# comment: whom these measurements would not be possible.
# comment: 
# collaborator_name: NOAA Earth System Research Laboratory, Global
# collaborator_name: Monitoring Division [NOAA ESRL GMD]
# collaborator_url: http://www.esrl.noaa.gov/gmd
# comment: 
# comment:  ************ RECIPROCITY AGREEMENT ***************
# comment: 
# comment: Use of these data implies an agreement to reciprocate.
# comment: Laboratories making similar measurements agree to make their
# comment: own data available to the general public and to the scientific
# comment: community in an equally complete and easily accessible form.
# comment: Modelers are encouraged to make available to the community,
# comment: upon request, their own tools used in the interpretation
# comment: of the GML data, namely well documented model code, transport
# comment: fields, modeled mole fractions, and additional information 
# comment: necessary for other scientists to repeat the work and to run 
# comment: modified versions. Model availability includes collaborative 
# comment: support for new users of the models.
# comment:
# comment:  ************ DATA DESCRIPTION ***************
# comment:
# description_site-code: mlo
# description_project-abbr: ccg_surface
# description_strategy-abbr: flask
# description_analysis-constraints: flag:..%
# description_creation-time: 2022-07-28 10:24:30
# comment:
# comment:  ************ DATA DOCUMENTATION ***************
# comment:
# comment: Please refer to the species-specific README file in the
# comment: appropriate directory folder at https://gml.noaa.gov/aftp/data/trace_gases/.
# comment:
# data_fields: site year month value
MLO 2010  1   388.79
MLO 2010  2   389.91
MLO 2010  3   391.27
MLO 2010  4   392.79
MLO 2010  5   393.56
MLO 2010  6   392.45
MLO 2010  7   390.27
MLO 2010  8   388.17
MLO 2010  9   386.74
MLO 2010 10   387.39
MLO 2010 11   388.74
MLO 2010 12   390.23
MLO 2011  1   391.74
MLO 2011  2   392.32
MLO 2011  3   392.82
MLO 2011  4   393.88
MLO 2011  5   394.46
MLO 2011  6   393.99
MLO 2011  7   392.54
MLO 2011  8   390.15
MLO 2011  9   388.78
MLO 2011 10   389.33
MLO 2011 11   390.64
MLO 2011 12   392.34
MLO 2012  1   393.18
MLO 2012  2   393.42
MLO 2012  3   394.82
MLO 2012  4   396.73
MLO 2012  5   397.15
MLO 2012  6   396.04
MLO 2012  7   394.46
MLO 2012  8   392.41
MLO 2012  9   391.05
MLO 2012 10   391.32
MLO 2012 11   393.26
MLO 2012 12   394.84
MLO 2013  1   395.86
MLO 2013  2   396.99
MLO 2013  3   397.94
MLO 2013  4   398.90
MLO 2013  5   399.81
MLO 2013  6   399.35
MLO 2013  7   397.40
MLO 2013  8   395.21
MLO 2013  9   393.92
MLO 2013 10   394.06
MLO 2013 11   395.64
MLO 2013 12   397.24
MLO 2014  1   398.12
MLO 2014  2   398.55
MLO 2014  3   399.98
MLO 2014  4   401.86
MLO 2014  5   402.45
MLO 2014  6   401.60
MLO 2014  7   399.17
MLO 2014  8   396.73
MLO 2014  9   395.56
MLO 2014 10   395.89
MLO 2014 11   397.73
MLO 2014 12   399.49
MLO 2015  1   400.29
MLO 2015  2   400.62
MLO 2015  3   401.82
MLO 2015  4   403.91
MLO 2015  5   404.37
MLO 2015  6   403.13
MLO 2015  7   401.16
MLO 2015  8   399.14
MLO 2015  9   397.89
MLO 2015 10   398.47
MLO 2015 11   400.19
MLO 2015 12   401.76
MLO 2016  1   402.95
MLO 2016  2   403.86
MLO 2016  3   405.46
MLO 2016  4   407.59
MLO 2016  5   408.12
MLO 2016  6   406.82
MLO 2016  7   404.61
MLO 2016  8   401.91
MLO 2016  9   400.44
MLO 2016 10   401.69
MLO 2016 11   403.74
MLO 2016 12   404.90
MLO 2017  1   405.79
MLO 2017  2   406.51
MLO 2017  3   407.57
MLO 2017  4   409.22
MLO 2017  5   410.00
MLO 2017  6   408.94
MLO 2017  7   407.18
MLO 2017  8   405.09
MLO 2017  9   403.32
MLO 2017 10   403.66
MLO 2017 11   405.46
MLO 2017 12   406.90
MLO 2018  1   408.10
MLO 2018  2   408.83
MLO 2018  3   409.57
MLO 2018  4   411.03
MLO 2018  5   411.71
MLO 2018  6   410.72
MLO 2018  7   409.28
MLO 2018  8   407.29
MLO 2018  9   405.70
MLO 2018 10   406.33
MLO 2018 11   408.23
MLO 2018 12   409.46
MLO 2019  1   410.77
MLO 2019  2   411.84
MLO 2019  3   412.24
MLO 2019  4   413.46
MLO 2019  5   414.98
MLO 2019  6   414.30
MLO 2019  7   411.92
MLO 2019  8   409.75
MLO 2019  9   408.74
MLO 2019 10   408.93
MLO 2019 11   410.29
MLO 2019 12   411.99
MLO 2020  1   413.37
MLO 2020  2   413.85
MLO 2020  3   414.56
MLO 2020  4   416.03
MLO 2020  5   417.20
MLO 2020  6   416.79
MLO 2020  7   414.59
MLO 2020  8   412.49
MLO 2020  9   411.51
MLO 2020 10   411.52
MLO 2020 11   412.55
MLO 2020 12   414.10
